0.00 --> 0.10 | Randall
0.11 --> 0.20 | Helin
0.21 --> 0.33 | Randall
0.34 --> 0.38 | Helin
0.39 --> 0.50 | Randall
0.51 --> 1.00 | Helin
1.00 --> 1.04 | Randall
1.07 --> 1.13 | Randall
1.13 --> 1.23 | Helin
1.24 --> 1.34 | Randall
1.35 --> 1.42 | Helin
1.43 --> 1.50 | Randall
1.51 --> 2.00 | Helin
2.00 --> 2.11 | Randall
2.12 --> 2.15 | Helin
2.16 --> 2.19 | Helin
2.20 --> 2.24 | Randall
2.26 --> 2.36 | Randall
2.37 --> 2.45 | Helin
2.46 --> 2.55 | Randall
2.56 --> 3.04 | Helin
3.00 --> 3.15 | Randall
3.16 --> 3.23 | Helin
3.24 --> 3.27 | Randall
3.27 --> 3.31 | Helin
